	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80	sample81	sample82	sample83	sample84	sample85	sample86	sample87	sample88	sample89	sample90	sample91	sample92	sample93	sample94	sample95	sample96	sample97	sample98	sample99	sample100	sample101	sample102	sample103	sample104	sample105	sample106	sample107	sample108	sample109	sample110	sample111	sample112	sample113	sample114	sample115	sample116	sample117	sample118	sample119	sample120	sample121	sample122	sample123	sample124	sample125	sample126	sample127	sample128	sample129	sample130	sample131	sample132	sample133	sample134	sample135	sample136	sample137	sample138	sample139	sample140	sample141	sample142	sample143	sample144	sample145	sample146	sample147	sample148	sample149	sample150	sample151	sample152	sample153	sample154	sample155	sample156	sample157	sample158	sample159	sample160	sample161	sample162	sample163	sample164	sample165	sample166	sample167	sample168	sample169	sample170	sample171	sample172	sample173	sample174	sample175	sample176	sample177	sample178	sample179	sample180	sample181	sample182	sample183	sample184	sample185	sample186	sample187	sample188	sample189
OTU213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	257	0	0	10	0	0	20	5	14	0	0	0	131	131	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	18	0	0	0	35	0	0	507	0	208	171	0	9	276	63	0	0	0	15	0	0	0	0	0	0	0	0	13	44	19	112	0	8	0	527	0	513	0	0	72	0	0	0	0	0	0	0	0	0	0	71	0	15	0	154	0	0	0	0	259	378	0	0	0	0	0	223	0	0	0	0	49	0	38	0	0	0	0	0	0	0	13	14	85	208	79	0	0	0	0	0	22	283	0	0	0	47	0	0	60	11	0	162	0	0	708	0	0	266	111	0	0	0	117	0	0	0	0	211	0	0	0	52	105	0	0	0	0	33	0	0	0	37	0	88	0	0	0	0
OTU221	42	86	0	0	0	0	0	0	0	0	0	0	0	0	0	781	0	0	0	947	0	0	20	0	0	527	0	99	34	0	0	39	144	0	18	0	71	1990	0	0	0	0	17	41	0	0	0	0	0	0	104	0	0	0	0	0	282	0	102	0	445	0	34	150	157	0	0	0	0	0	6	15	0	0	0	0	0	0	165	135	288	0	0	0	0	0	359	0	0	34	0	52	0	40	0	26	0	0	0	5	160	0	38	426	0	0	27	0	407	795	0	0	0	0	0	0	0	0	0	0	638	0	0	0	114	0	0	136	57	7	0	9	0	0	223	0	0	0	50	212	923	572	0	0	0	0	11	0	488	0	54	25	192	0	0	90	194	0	0	1047	0	0	0	0	0	0	0	204	382	0	0	0	664	7	0	0	0	0	245	0	0	0	0	0	0	17	0	0	0
OTU226	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	662	0	0	253	0	400	326	0	0	0	0	0	0	3	1843	21	0	0	0	0	0	232	0	0	0	0	0	118	2034	0	0	0	0	0	6	0	1553	0	751	0	332	0	116	0	0	0	0	0	5	387	2951	0	0	0	0	7	521	603	0	0	0	0	0	0	99	0	0	0	0	80	0	0	0	0	0	0	0	0	1092	27	122	0	15	0	11	0	162	0	0	0	2	0	416	0	0	0	0	0	0	1348	0	2048	0	84	0	6	0	0	0	0	0	0	88	0	0	0	0	1560	0	70	0	0	0	0	0	0	309	0	0	0	67	0	0	0	47	0	0	5	0	0	2	112	0	0	0	0	854	0	0	0	1330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	395	0	0	0	1985	0	0	0	0	0	76	47	0	0	0	0	0	0	0	0	0	0	0	0	902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	394	0	0	35	0	0	0	0	100	0	0	7	0	0	0	0	0	453	0	150	0	0	692	0	0	0	109	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	0	0	0	0	0	0	0	326	0	83	0	0	0	0	57	0	0	44	0	0	306	0	0	0	233	50	0	0	0	391	106	0	0	0	19	573	0	518	0	0	0	12	0	0	563	0	34	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	194	276	0	0	0	0	4	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0
OTU235	0	185	0	0	0	0	0	0	0	0	0	0	0	61	166	0	0	0	0	0	24	448	265	0	0	72	0	399	168	116	0	0	0	0	0	0	913	0	0	0	0	0	0	0	0	0	0	0	0	0	493	0	0	0	0	0	287	0	292	0	362	0	231	0	76	0	51	0	0	0	0	581	355	0	0	0	0	37	0	85	0	0	0	0	0	0	191	0	78	0	0	66	0	0	0	0	0	0	0	153	538	0	14	0	146	0	15	0	281	0	0	0	0	0	57	0	0	0	0	0	0	382	0	278	0	4	0	19	21	0	0	0	8	0	206	0	0	0	0	193	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	26	0	10	26	0	0	0	0	0	0	0	0	635	47	0	0	97	0	0	20	0	0	64	0	0	312	0	0	0	0	0	0	0
OTU244	5	0	0	0	173	6	0	0	5	0	0	0	0	0	0	0	0	18	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	22	13	0	0	0	0	0	0	0	0	2	0	0	313	10	9	3	19	0	7689	10611	0	0	0	0	0	10	72	771	0	196	0	410	0	0	0	77	21	0	0	161	9	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	6	0	5	0	9	0	0	0	12	7	0	7	0	4	0	72	10	0	0	0	0	0	0	0	0	0	34	1588	5	0	0	3	265	8	118	0	0	0	11	0	0	0	0	0	0	0	0	0	740	0	11	171	9	0	4	460	4	0	0	5	6	0	0	0	16	0	8	0	0	0	0	3	10	0	0	0	6	0	0	0	0	4	0	0	0	0	0	3	0	0	13	0	91
OTU257	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	28	0	0	53	33	168	47	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	127	409	388	0	0	0	0	0	0	0	0	0	0	290	63	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	170	0	388	0	0	0	0	121	0	87	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	20	0	24	57	0	0	0	0	0	0	29	0	172	347	0	0	0	0	0	0	0	0	560	0	0	0	0	0	0	0	0	0	63	0	0	49	0	0	0	0	0	0	0
OTU259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	0	0	0	0	0	0	0	0	4	2	7	0	0	0	0	0	0	23	0	0	1762	3	5	0	2	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	2	0	4979	7	0	0	0	0	0	0	4	0	2	899	3	0	0	0	0	11	16	0	0	0	0	0	0	0	0	4	0	0	2	0	3418	3	0	0	0	2	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	2	0	0	17	0	0	217	0	0	0	43	51	17	4	221	0	0	9	0	2	0	453	0	3	0	0	0	0	2	3	98	0	0	0	4	3	0
OTU269	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456	8	0	137	5	208	5	0	2	0	0	0	13	0	2707	0	0	0	0	0	4	16	0	8	0	0	0	0	2374	0	0	0	0	0	431	0	270	0	869	0	339	199	8	0	0	0	0	0	0	1128	693	0	0	0	0	149	6	0	0	0	0	0	0	0	220	0	7	0	0	23	0	0	0	0	0	0	0	0	723	0	33	0	0	0	0	0	27	0	10	0	2	0	61	0	0	0	0	0	0	457	0	229	0	0	0	17	27	0	0	0	0	0	63	0	0	0	0	114	0	0	0	0	0	0	0	0	38	0	5	0	6	0	0	0	84	0	0	32	0	0	0	0	0	0	0	22	104	0	0	0	181	7	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0
OTU278	0	13	0	29	413	0	0	89	268	0	0	0	0	0	0	31	55	114	0	0	0	25	0	0	0	0	6	80	0	8	0	0	19	36	1372	304	0	32	0	0	0	0	4	0	210	0	0	0	0	0	0	0	0	0	43	0	19	0	0	0	65	0	3	16	115	113	0	0	559	0	0	0	0	0	1346	0	0	0	0	76	0	0	380	0	1097	0	70	0	0	16	0	0	0	34	37	3	0	0	0	0	0	0	0	269	10	10	0	24	0	527	0	0	0	0	0	0	0	10	0	99	75	13	0	0	1075	0	0	12	0	0	392	56	0	0	0	60	0	0	20	0	0	363	6	0	0	0	86	0	0	110	351	42	0	0	0	375	9	0	0	0	130	0	13	445	3985	0	0	84	955	0	0	0	0	84	0	0	1023	0	0	0	0	0	0	0	1101	55	0	5	0
OTU292	0	0	6	0	0	44	0	4	0	7	0	8	5	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	12	0	0	0	10	0	0	0	0	0	13	3085	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4222	0	0	0	0	0	0	10	46	0	0	0	0	0	0	5	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	36	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	194	0	0	9	0	0	0	0	0	3	0	0	0	0	0	0	7	0	4	48	36	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	18	0	0	0
OTU295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU303	0	14	0	0	0	0	0	0	0	0	0	0	6	261	0	0	2	0	0	0	0	0	16	0	0	30	0	97	0	0	0	0	0	4	0	0	91	0	0	0	0	0	0	99	0	22	0	0	0	3	211	0	0	0	0	0	0	0	70	0	377	0	99	0	44	208	0	0	0	0	0	58	154	0	0	0	0	0	22	0	0	0	0	0	0	0	59	0	0	193	0	2	0	0	0	0	0	0	0	0	50	1189	46	0	0	0	0	0	0	0	241	0	0	0	6	0	0	146	0	0	0	35	0	98	0	21	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	99	0	0	0	0	0	36	111	0	0	0	242	0	0	79	0	281	220	0	0	151	0	0	43	0	0	0	0	0	94	0	0	0	22	0	0	0
OTU304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2598	0	0	0	0	6174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	14225	0	0	0	0	0	0	7257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3148	0	9833	0	0	2	0	0	34	18	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	3419	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
OTU305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4667	0	0	0	0	0	0	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2075	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	2898	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1166	0	0	4244	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1214	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	531	0	0	0	0	0	0	0	0	303	0	0	0	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1265	155	0	0	0	0	0	685	0	0	0	0	0	0	0	0	0	622	0	0	0	0	359	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	158	168	0	0	0	172	0	0	829	0	0	0	0	0	100	0	0	0	0	0	234	0	0	87	200	0	0	19	0	0	407	0	614	207	0	171	0	0	0	1111	273	0	0	0	0	0	0	0	0	337	233	0	0	0	184	0	0	700	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU320	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	101	0	0	17	0	0	31	0	263	0	0	0	0	0	0	0	0	118	0	0	0	0	0	74	300	0	6	0	0	0	10	312	0	0	0	0	0	0	0	405	0	0	0	84	57	183	0	0	0	0	0	0	150	105	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	450	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	32	0	26	0	22	0	0	5	13	0	0	0	0	0	0	0	0	0	121	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	1157	0	0	174	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0
OTU327	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	84	0	0	2	0	0	0	0	0	164	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	2	3	0	0	0	0	0	0	2613	0	10	94	0	0	0	0	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1882	0	14	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	21	0	0	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	1449	0	0	0	0	153	0	0	0	0	0	0	0	2	29	0	0	0	0	0	0
OTU329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU333	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445	0	0	4	105	0	0	2693	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	43	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	478	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	605	3	0	176	8	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	381	198	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	4	0	0	0	39	0	0	0	41	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	278
OTU351	0	0	53	0	47	40	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	23	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	5	7	0	0	1277	0	0	2	19	2	0	0	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	16	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	4	3	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	3	0	0	10
OTU361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU371	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	37	0	113	0	0	0	0	0	0	0	21	0	48	0	0	44	17	10	73	0	0	0	0	0	0	0	58	0	0	0	0	58	0	0	0	0	0	50	0	98	99	0	0	9	0	0	0	0	0	0	0	12	16	13	0	109	0	0	39	10	0	0	0	33	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	814	1206	0	0	0	0	0	630	0	0	0	0	7	0	318	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	145	0	0	0	0	0	0	20	0	0	0	15	0	0	0	91	0	0	21	0	0	0	0	0	27	0	21	121	0	0	0	17	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU380	0	0	6	0	0	0	0	0	0	33	152	113	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	2	0	0	4	0	0	0	0	0	0	5463	29	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	6	0	113	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	164	0	38	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	6	0	0	136	123	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	13	0	0	0
OTU385	26	7	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	302	0	85	0	0	22	23	0	0	0	0	0	0	27	313	0	0	0	0	0	0	33	0	0	0	0	0	323	0	0	0	0	0	43	11	38	14	191	0	79	41	35	0	29	0	0	0	0	0	10	0	334	0	0	0	10	0	0	0	0	0	0	0	72	0	0	0	0	13	195	0	0	0	0	0	18	16	0	0	26	0	0	0	0	0	0	165	0	0	0	0	0	0	12	0	0	0	195	22	0	42	0	0	0	5	0	26	0	0	0	0	7	0	0	0	0	11	78	0	9	0	0	0	0	0	19	0	280	0	44	0	0	72	52	0	19	55	0	0	0	39	0	98	0	6	138	0	0	0	69	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU390	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	979	0	0	0	0	0	0	0	153	0	63	0	0	0	0	177	2132	0	0	0	0	0	0	0	10	0	0	0	1056	0	0	0	0	0	0	0	0	467	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	3634	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	191	0	0	0	0	0	0	0	0	0	17	0	6	23	0	0	0	0	0	0	17	0	0	18	0	0	0	0	0	0	0	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	0	0	1192	0	0	144	0	0	0	0	0	175	0	0	0	236	174	0	0	0	18	0	25	0	0	0	0	0	0	43	0	33	0	0	0	0	0	1021	0	0	0	0	0	0
OTU395	4	2	51	31	715	45	0	0	24	0	0	154	0	11	0	0	2	3	37	0	8	55	51	6	0	5	0	11	16	0	14	65	0	24	983	0	13	0	4	9	0	0	11	0	0	57	59	0	0	4	6	0	262	0	2	6	0	0	5	13	2	71	0	178	0	27	0	0	0	4	17	9	0	248	0	5	0	0	10	54	4	0	106	30	296	6	0	26	0	0	0	9	6	165	4	0	16	25	32	4	3	8	0	23	8	0	0	26	13	30	0	286	7	0	10	0	3	0	6	0	3	7	21	0	108	0	0	85	3	0	20	0	4	61	11	6	0	0	19	10	0	0	5	0	0	0	16	0	127	7	33	8	0	0	28	81	14	0	0	0	127	85	7	0	26	10	6	6	114	7	16	0	6	32	60	0	13	8	398	12	4983	14	41	0	3	15	0	0	30
OTU397	0	0	0	0	0	0	0	8	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1105	0	5	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	2558	0	0	0	0	0	0	0	0	86	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	10	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	8	0
OTU399	0	0	0	0	0	425	0	28	212	241	136	62	0	6	0	0	98	0	0	0	28	11	0	12	0	8	0	0	0	0	0	0	0	124	4	0	0	10	0	14	16	1735	0	0	0	0	0	0	28	0	0	0	0	0	47	0	0	59	0	3	0	1139	0	0	0	42	30	475	0	4	0	6	7	0	21	0	0	31	0	0	0	0	0	0	6	0	0	99	4	0	8	0	11	0	835	0	0	9517	692	0	0	2	0	0	0	0	0	0	0	0	58	0	0	84	0	3032	0	0	482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	42	13	0	0	0	0	0	389	0	0	29	24	38	3	0	0	1670	0	0	0	248	0	3	577	4	39	0	0	1347	250	0	10	75	62	0	0	0	0	48	112	0	0	47	0	0	711	0
OTU414	0	504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	248	0	0	0	0	0	0	0	0	884	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	48	0	0	29	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU416	49	22	0	0	0	0	0	0	0	0	31	0	136	0	0	0	0	0	0	0	0	18	59	0	0	484	4	52	0	0	0	0	0	26	0	0	306	65	0	0	0	0	32	273	0	0	0	0	0	14	168	0	0	0	0	0	0	76	75	0	572	0	324	0	33	0	0	0	0	0	0	108	209	0	0	0	0	6	18	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	223	179	2	0	0	0	0	0	0	0	0	0	0	0	34	0	0	7	0	11	0	91	0	115	0	14	0	13	43	3	0	6	0	0	49	0	0	0	0	8	0	0	0	0	0	0	0	0	153	10	0	0	14	0	140	0	56	0	29	40	0	0	0	10	0	0	0	0	10	0	0	0	36	0	7	0	0	0	7	0	0	68	0	0	52	0	0	0	0
OTU435	0	0	10	586	0	0	0	0	0	19	0	0	0	28	0	0	0	0	0	0	0	0	212	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	370	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	60	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4649	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	1588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU452	0	34	0	0	0	0	0	8	0	0	0	0	0	0	0	216	0	189	0	343	0	0	34	0	0	50	0	87	75	0	0	325	227	0	142	0	65	0	0	0	0	0	31	45	0	0	0	0	0	7	174	0	0	0	0	0	100	104	0	0	215	0	123	118	100	0	0	0	0	0	20	176	1534	0	0	0	0	4	9	0	0	0	20	0	0	0	119	0	0	18	0	0	0	0	0	0	0	0	0	88	191	105	0	100	0	0	0	0	0	82	73	0	8	0	23	0	181	0	0	11	0	184	0	16	0	30	0	23	18	14	0	5	0	132	26	0	0	0	90	52	0	54	0	0	0	0	0	0	54	0	0	0	80	0	0	0	335	0	0	73	0	0	0	192	15	0	0	129	0	54	0	0	123	81	0	0	18	0	198	0	0	83	0	0	28	100	0	0	0
